mbid,verse_name,poetry_form,t_start,t_end,offset_start,offset_end,mizan,orchestra,lyric
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.1.1,Zejel,78.1882518562631,151.14870235195244,214.0,283.5,Bṭāyḥī,Brihi Orchestra,shams al-aṣīl mudhhab
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.1.2,Zejel,151.14870235195244,185.10059515687718,286.0,333.5,Bṭāyḥī,Brihi Orchestra,fī marjin min dhahab
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.2.1,Zejel,210.01902952876458,242.89105099504695,334.0,349.5,Bṭāyḥī,Brihi Orchestra,awṣāf ‘ujāb
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.3.1,Zejel,277.1208259716817,311.2230431546842,413.5,414.0,Bṭāyḥī,Brihi Orchestra,warā’ ḥijāb
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.4.1,Zejel,345.51998705660367,379.7567326594646,477.5,478.0,Bṭāyḥī,Brihi Orchestra,labsat thiyāb
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.5.1,Zejel,379.7567326594646,457.25705071525124,515.5,566.0,Bṭāyḥī,Brihi Orchestra,unẓur tará mā āi‘jab
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1.5.2,Zejel,457.25705071525124,517.5547263214899,587.5,614.5,Bṭāyḥī,Brihi Orchestra,al-shams ḥīn tuḥjab
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.2.1.1,Qasida,517.5547263214899,551.2366709742372,644.5,678.5,Bṭāyḥī,Brihi Orchestra,qarub al-masā yā marḥaban biqudūmih
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.2.1.2,Qasida,586.2054579257671,620.3338328382041,708.5,742.5,Bṭāyḥī,Brihi Orchestra,ammā al-nhār qad āinqaḍá bisabīlih
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.2.2.1,Qasida,653.810535676268,688.2812803980701,772.5,774.5,Bṭāyḥī,Brihi Orchestra,iqrā al-salām ilá al-basātīn kullihā
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.2.2.2,Qasida,688.2812803980701,722.4409859899388,803.5,805.0,Bṭāyḥī,Brihi Orchestra,wa’ilá al-ḥabīb idhā āiltaqá
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.1.1,Moaxaja,722.4409859899388,739.4527652769311,819.5,820.5,Bṭāyḥī,Brihi Orchestra,ḥay al-diyār
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.1.2,Moaxaja,739.4527652769311,773.4958492533933,851.5,902.0,Bṭāyḥī,Brihi Orchestra,waman bihā sākin
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.2.1,Moaxaja,825.5349916993482,842.986767808094,915.5,916.5,Bṭāyḥī,Brihi Orchestra,wa‘uj mirār
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.2.2,Moaxaja,842.986767808094,877.1536627260273,947.5,998.0,Bṭāyḥī,Brihi Orchestra,wahayyij al-sākin
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.3.1,Moaxaja,928.5054142933549,945.8423862737403,1011.5,1012.5,Bṭāyḥī,Brihi Orchestra,ẓabī al-qifār
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.3.2,Moaxaja,945.8423862737403,962.8724042756236,1027.5,1028.5,Bṭāyḥī,Brihi Orchestra,bimuhjatī sākin
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.4.1,Moaxaja,962.8724042756236,980.3306138223054,1043.5,1060.5,Bṭāyḥī,Brihi Orchestra,badr al-tamām
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.4.2,Moaxaja,997.3457223726006,1014.9251694855787,1075.5,1078.5,Bṭāyḥī,Brihi Orchestra,qad hayyaj ashjānī
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3.5.1,Moaxaja,1014.9251694855787,1032.1866132312282,1091.5,1092.5,Bṭāyḥī,Brihi Orchestra,yaqḍī huyām
