mbid,sanaa_name,poetry_form,t_start,t_end,offset_start,offset_end,bugs
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.1,Zejel,78.1882518562631,517.5547263214899,214.0,613.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.2,Qasida,517.5547263214899,722.4409859899388,614.5,803.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.3,Moaxaja,722.4409859899388,1066.5340778110199,805.0,1123.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,mu.4,Moaxaja,1066.5340778110199,1757.7301803959028,1124.5,1763.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,ma.1,Zejel,1964.4984259633386,2251.9674236377846,1764.5,2139.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.1,Zejel,2280.7502329745466,2479.352917327848,2140.5,2307.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.2,Zejel,2479.352917327848,2748.9237566220463,2308.5,2627.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.3,Zejel,2748.9237566220463,2920.8887209709596,2628.5,2867.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.4,Zejel,2920.8887209709596,3021.2621547819545,2868.5,3018.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.5,Zejel,3021.2621547819545,3129.754076438199,3020.5,3188.5,
a451a7fc-c53f-462a-b3fc-4377bb588105,in.6,Zejel,3129.754076438199,3214.664072192782,3189.0,3338.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.1,Qasida,204.33714890141516,315.4040236337975,261.0,367.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.2,Barwala,315.4040236337975,1146.3251791498947,368.5,1166.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.3,Zejel,1146.3251791498947,1384.5743162391072,1168.5,1406.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,mu.4,Barwala,1384.5743162391072,1624.4100417451066,1408.5,1646.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,in.1,Zejel,2023.2542969016947,2205.7634093517336,1652.5,1819.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,in.2,Zejel,2205.7634093517336,2449.9272762501555,1820.5,2139.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,in.3,Zejel,2449.9272762501555,2552.863834147742,2380.5,2530.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,in.4,Zejel,2552.863834147742,2659.3470312015793,2532.5,2700.5,
8842c1f0-e261-4069-bd59-768bb9a3315c,in.5,Zejel,2659.3470312015793,2748.0591065192143,2701.0,2843.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.1,Qasida,211.23965771555663,372.9963911298608,291.0,434.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.2,Barwala,372.9963911298608,621.5878355011197,435.0,662.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.3,Qasida,621.5878355011197,984.213424995894,663.5,986.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.4,Moaxaja,984.213424995894,1159.9315267489335,996.5,1139.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.5,Zejel,1159.9315267489335,1480.1937952342885,1161.0,1471.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,mu.6,Zejel,1480.1937952342885,1658.8459962744448,1472.5,1643.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,ma.1,Zejel,1812.9562436169972,2024.0373252786048,1712.5,1927.5,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,ma.2,Zejel,2024.0373252786048,2130.7504270191907,1929.0,2033.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.1,Zejel,2130.7504270191907,2201.2174897044392,2035.75,2168.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.2,Zejel,2201.2174897044392,2279.3081174726663,2169.75,2330.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.3,Qasida,2348.209026087771,2470.3723648550085,2479.75,2699.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.4,Zejel,2470.3723648550085,2592.625232107617,2738.75,3026.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.5,Zejel,2684.51459296568,2933.1636755486543,3033.75,3530.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.6,Moaxaja,2933.1636755486543,3108.9306771912866,3609.75,4040.75,
f7bcb9af-6abb-4192-ae3d-37fa811034ce,in.7,Zejel,3108.9306771912866,3293.4376962790866,4041.75,4525.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,mu.1,Qasida,144.971481191663,289.933516260413,291.0,434.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,mu.2,Qasida,289.933516260413,615.4346610944408,435.5,758.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,mu.4,Zejel,928.3194041850321,1155.1401128711536,774.5,1013.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,mu.5,Moaxaja,1155.1401128711536,1311.3849268641345,1014.5,1177.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,ma.1,Qasida,1311.3849268641345,1448.1819077300577,1179.5,1321.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,ma.2,Zejel,1448.1819077300577,1673.0112293476438,1322.5,1567.5,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.1,Zejel,2084.5650122891216,2157.166386453057,1678.75,1787.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.3,Zejel,2211.682203536458,2248.961656647084,1921.75,1994.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.4,Zejel,2248.961656647084,2278.507170351885,1996.75,2054.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.5,Zejel,2278.507170351885,2357.123590066911,2055.75,2216.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.6,Qasida,2357.123590066911,2543.0041012115357,2218.75,2598.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.7,Moaxaja,2543.0041012115357,2721.9875332889037,2631.75,3052.75,
b11237b9-d45b-4b3a-a97b-ab7d198f927f,in.8,Zejel,2721.9875332889037,2835.3425623582766,3063.75,3278.75,
